CHEBI:269574	CHEBI:32952
CHEBI:35297	CHEBI:33170
CHEBI:51269	CHEBI:51275
CHEBI:65344	CHEBI:3744
CHEBI:65346	CHEBI:3743
CHEBI:33650	CHEBI:33649
CHEBI:36608	CHEBI:36607
CHEBI:35162	CHEBI:35163
CHEBI:50454	CHEBI:50455
CHEBI:36599	CHEBI:36600
CHEBI:33645	CHEBI:33642
CHEBI:37786	CHEBI:37798
CHEBI:13759	CHEBI:18000
CHEBI:36445	CHEBI:36452
CHEBI:79327	CHEBI:79342
CHEBI:67439	CHEBI:65411
CHEBI:22563	CHEBI:24870
CHEBI:2733	CHEBI:27539
CHEBI:58445	CHEBI:35243
CHEBI:18323	CHEBI:17822
CHEBI:67170	CHEBI:72571
CHEBI:47033	CHEBI:33842
CHEBI:33656	CHEBI:33655
CHEBI:77973	CHEBI:78007
CHEBI:35221	CHEBI:25212
CHEBI:50843	CHEBI:25354
CHEBI:30214	CHEBI:36356
CHEBI:73190	CHEBI:25435
CHEBI:48357	CHEBI:48356
CHEBI:81339	CHEBI:3369
CHEBI:63108	CHEBI:31633
CHEBI:63107	CHEBI:63111
CHEBI:408174	CHEBI:5147
CHEBI:77590	CHEBI:31859
CHEBI:33062	CHEBI:33057
CHEBI:51126	CHEBI:51125
CHEBI:53803	CHEBI:53522
CHEBI:61376	CHEBI:61412
CHEBI:16684	CHEBI:15884
CHEBI:57858	CHEBI:57554
CHEBI:35799	CHEBI:7603
CHEBI:46550	CHEBI:46801
CHEBI:77929	CHEBI:17700
CHEBI:31457	CHEBI:46202
CHEBI:41808	CHEBI:46342
CHEBI:23574	CHEBI:27190
CHEBI:61430	CHEBI:77547
CHEBI:28493	CHEBI:78176
CHEBI:53043	CHEBI:53042
CHEBI:36003	CHEBI:39448
CHEBI:23580	CHEBI:32900
CHEBI:85086	CHEBI:85084
CHEBI:5656	CHEBI:7861
CHEBI:36367	CHEBI:36366
CHEBI:47775	CHEBI:47774
CHEBI:39025	CHEBI:39026
CHEBI:76916	CHEBI:35526
CHEBI:24834	CHEBI:25696
CHEBI:64776	CHEBI:64775
CHEBI:33660	CHEBI:33659
CHEBI:36915	CHEBI:25697
CHEBI:64770	CHEBI:64769
CHEBI:50425	CHEBI:35489
CHEBI:33246	CHEBI:33247
CHEBI:33596	CHEBI:24532
CHEBI:33242	CHEBI:37175
CHEBI:52625	CHEBI:33822
CHEBI:36914	CHEBI:25699
CHEBI:35574	CHEBI:35573
CHEBI:24835	CHEBI:50860
CHEBI:51084	CHEBI:51085
CHEBI:24836	CHEBI:25701
CHEBI:24837	CHEBI:25702
CHEBI:24838	CHEBI:25703
CHEBI:37789	CHEBI:37592
CHEBI:36876	CHEBI:36877
CHEBI:36879	CHEBI:36881
CHEBI:36878	CHEBI:36880
CHEBI:36871	CHEBI:36872
CHEBI:24839	CHEBI:24868
CHEBI:38702	CHEBI:38700
CHEBI:24840	CHEBI:51337
CHEBI:33521	CHEBI:25585
CHEBI:48355	CHEBI:48354
CHEBI:83812	CHEBI:83811
CHEBI:83820	CHEBI:83813
CHEBI:25588	CHEBI:26167
CHEBI:15734	CHEBI:35681
CHEBI:17062	CHEBI:50981
CHEBI:58001	CHEBI:58855
CHEBI:33256	CHEBI:33257
CHEBI:32877	CHEBI:32863
CHEBI:50994	CHEBI:50995
CHEBI:35884	CHEBI:35885
CHEBI:78724	CHEBI:78702
CHEBI:78725	CHEBI:78711
CHEBI:78727	CHEBI:78714
CHEBI:78729	CHEBI:78716
CHEBI:58953	CHEBI:2580
CHEBI:26607	CHEBI:27208
CHEBI:77332	CHEBI:77632
CHEBI:35681	CHEBI:26878
CHEBI:33257	CHEBI:39409
CHEBI:32863	CHEBI:32876
CHEBI:50995	CHEBI:50996
CHEBI:51145	CHEBI:51146
CHEBI:35885	CHEBI:35886
